1,The Declaration of Independence of the United States of America,Thomas Jefferson,English
2,The United States Bill of Rights,United States,English
3,John F. Kennedy's Inaugural Address,John F. Kennedy,English
4,Lincoln's Gettysburg Address,Abraham Lincoln,English
5,The United States Constitution,United States,English
6,Give Me Liberty or Give Me Death,Patrick Henry,English
7,The Mayflower Compact,Unknown Author,English
8,Abraham Lincoln's Second Inaugural Address,Abraham Lincoln,English
9,Abraham Lincoln's First Inaugural Address,Abraham Lincoln,English
10,The King James Version of the Bible,Unknown Author,English
11,Alice's Adventures in Wonderland,Lewis Carroll,English
12,Through the Looking-Glass,Lewis Carroll,English
13,The Hunting of the Snark: An Agony in Eight Fits,Lewis Carroll,English
14,The 1990 CIA World Factbook,United States. Central Intelligence Agency,English
15,"Moby-Dick; or, The Whale",Herman Melville,English
16,Peter Pan,J. M. Barrie,English
17,The Book of Mormon,Church of Jesus Christ of Latter-day Saints,English
18,The Federalist Papers,Alexander Hamilton,English
19,The Song of Hiawatha,Henry Wadsworth Longfellow,English
20,Paradise Lost,John Milton,English
21,Aesop's Fables,Aesop,English
22,Roget's Thesaurus,Peter Mark Roget,English
23,"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,English
24,O Pioneers!,Willa Cather,English
25,The 1991 CIA World Factbook,United States. Central Intelligence Agency,English
26,Paradise Lost,John Milton,English
27,Far from the Madding Crowd,Thomas Hardy,English
28,The Fables of Aesop,Aesop,English
29,The 1990 United States Census,United States. Bureau of the Census,English
30,"The Bible, King James Version, Complete",Unknown Author,English
31,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles,English
32,Herland,Charlotte Perkins Gilman,English
33,The Scarlet Letter,Nathaniel Hawthorne,English
34,Zen and the Art of the Internet,Brendan P. Kehoe,English
35,The Time Machine,H. G. Wells,English
36,The War of the Worlds,H. G. Wells,English
37,The 1990 United States Census [2nd],United States. Bureau of the Census,English
38,"The Jargon File, Version 2.9.10, 01 Jul 1992",Unknown Author,English
39,Hitchhiker's Guide to the Internet,Ed Krol,English
40,Northwestnet NUSIRG Internet Guide,Jonathan Kochmer,English
41,The Legend of Sleepy Hollow,Washington Irving,English
42,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,English
43,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,English
44,The Song of the Lark,Willa Cather,English
45,Anne of Green Gables,L. M. Montgomery,English
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,English
47,Anne of Avonlea,L. M. Montgomery,English
48,The 1992 CIA World Factbook,United States. Central Intelligence Agency,English
49,Surfing the Internet: An Introduction,Jean Armour Polly,English
50,"Pi to 1,000,000 places",Scott Hemphill,English
